Country,Rank,Average Score,Safety & Security,Personal Freedom,Governance,Social Capital,Investment Environment,Enterprise Conditions,Market Access & Infrastructure,Economic Quality,Living Conditions,Health,Education,Natural Environment
Denmark,1,83.86,92.21,92.51,90.95,77.24,80.19,80.54,81.88,74.58,94.88,80.62,88.12,72.57
Norway,2,83.5,95.75,94.09,90.89,76.66,79.97,79,77.89,72.99,93.81,84.02,85.65,71.25
Sweden,3,83.11,91.16,91.85,88.52,72.56,78.14,77.9,83.11,74.68,94.1,82.08,85.27,77.98
Finland,4,82.96,88.62,90.8,91.04,74.94,80.44,78.31,81.7,69.45,93.52,81.41,88.05,77.2
Switzerland,5,82.89,95.43,86.82,88.18,68.81,77.01,83.38,81.06,79.27,93.81,81.49,86.37,73.05
Netherlands,6,82.18,91.2,89.56,89.34,71.18,78.09,79.64,85.08,74.7,96.18,82.25,86.49,62.45
Luxembourg,7,81.1,94.21,88.75,87.36,64.27,74.77,79.83,81.46,77.4,93.55,81.54,78.97,71.1
New Zealand,8,80.93,86.58,86.71,88.81,74.93,79.94,77.94,77.02,70.02,90.1,79.74,85.53,73.83
Germany,9,80.57,88.19,86.64,86.75,65.54,76.57,77.96,83.32,73.61,95.16,81.12,82.62,69.32
Iceland,10,80.12,92.23,88.1,85.51,71.51,74.55,72.05,79.11,69.39,93.21,82.25,85.11,68.41
Austria,11,79.74,90.82,85.99,83.99,67.59,77.74,76.97,79.43,66.81,92.32,79.65,82.53,73.07
Ireland,12,79.63,90.29,89.08,83.4,64.53,73.77,76.62,75.99,75.43,92.11,79.55,85.5,69.34
United Kingdom,13,79.6,88.69,85.06,83.53,64.02,79.43,78.14,82.06,69.91,93.4,78.81,84.99,67.13
Singapore,14,79.05,92.18,53.39,75.3,68.15,86.43,83.19,87.96,75.39,94.22,86.12,91.27,55.01
Canada,15,78.99,88.37,88.19,85.19,67.63,74.84,77.29,77.64,61.94,92.54,78.37,87.83,68.11
Australia,16,78.76,86.53,85.43,85.6,70.03,77.51,74,73.71,66.74,92.95,80.19,85.69,66.76
Estonia,17,78.13,87,81.05,81.47,61.17,75.73,77.9,75.81,70.72,92.07,77.27,83.61,73.74
Hong Kong,18,77.85,88.79,63.82,78.88,51.75,81.23,87.48,84.32,76.49,91.02,81.28,86.54,62.65
Japan,19,77.72,92.73,74.84,81.25,44.27,78.12,79.45,82.25,65.79,93.21,86.63,85.54,68.57
United States,20,77.15,72.11,81.3,78.7,67.32,76.59,81.14,83.68,70.03,90.69,73.95,83.21,67.06
