2010,2019,2020,Country,Safety and Security,Personal Freedom,Governance,Social Capital,Investment Environment ,Enterprise Conditions ,Market Access and Infrastructure,Economic Quality,Living Conditions,Health,Education,Natural Environment
2,2,1,Denmark,10,2,3,1,6,6,8,8,1,6,3,8
3,1,2,Norway,2,1,2,2,2,11,25,9,8,7,8,9
4,3,3,Switzerland,1,12,7,9,15,3,11,1,5,4,12,6
1,4,4,Sweden,14,3,6,7,8,16,6,7,3,9,16,1
5,5,5,Finland,16,4,1,3,5,14,9,20,9,21,5,2
6,6,6,Netherlands,13,5,4,8,9,8,2,5,2,15,7,44
7,7,7,New Zealand,25,10,5,5,4,15,23,24,26,23,15,4
8,8,8,Germany,22,11,9,15,17,5,5,4,4,17,27,19
9,9,9,Luxembourg,3,6,8,28,24,7,10,3,7,8,36,11
10,12,10,Austria,4,14,15,10,11,19,16,18,11,26,22,5
12,14,11,Iceland,5,9,12,4,22,28,22,19,22,5,14,20
16,11,12,Ireland,12,8,14,16,25,13,28,6,13,22,13,15
15,10,13,United Kingdom,21,19,13,12,7,12,7,16,10,25,17,25
11,13,14,Canada,20,7,11,11,21,17,20,25,16,33,6,13
17,16,15,Singapore,9,92,25,18,1,2,1,2,6,1,1,90
14,17,16,Australia,18,16,10,19,12,23,30,32,19,19,11,21
13,15,17,Hong Kong*,6,46,19,72,3,1,3,12,18,13,4,33
18,18,18,United States,66,22,22,17,10,4,4,17,28,59,20,22
21,19,19,Japan,7,31,18,140,13,10,13,27,20,2,9,18
22,22,20,"Taiwan, China",8,26,20,44,14,9,19,14,25,18,10,89
24,21,21,Estonia,30,25,16,41,20,18,26,15,29,51,19,10
20,20,22,France,39,23,21,40,19,22,14,28,15,20,29,17
19,23,23,Belgium,31,18,17,79,23,21,15,29,21,24,18,55
25,25,24,Spain,29,15,26,26,26,27,12,44,14,12,26,38
26,24,25,Malta,15,20,24,22,38,26,34,13,12,14,34,105
23,27,26,Slovenia,17,29,34,37,37,33,27,30,23,27,23,3
28,26,27,Portugal,26,13,27,53,30,30,18,47,27,29,40,40
27,29,28,South Korea,35,42,29,139,18,36,17,10,24,3,2,71
29,28,29,Czechia,11,30,28,127,28,46,29,11,32,30,31,29
32,31,30,Israel,116,51,23,30,16,25,36,22,17,16,24,118
30,30,31,Italy,23,24,39,64,40,31,24,51,30,10,35,46
35,32,32,Latvia,36,36,35,117,34,32,40,34,41,86,28,7
31,33,33,Cyprus,42,28,33,92,45,34,31,53,33,32,33,52
40,34,34,Lithuania,33,40,32,156,32,35,38,36,36,87,25,24
33,35,35,Slovakia,32,35,38,81,31,54,49,35,34,45,52,16
34,36,36,Poland,27,55,40,114,43,44,39,38,31,40,32,45
36,37,37,Chile,67,33,31,105,35,41,35,49,46,64,46,42
38,38,38,Costa Rica,50,21,36,51,56,48,51,64,55,34,48,23
39,39,39,Uruguay,45,17,30,55,44,66,64,65,45,31,53,41
45,42,40,Malaysia,74,111,46,25,27,29,41,26,66,39,43,47
41,41,41,Greece,24,44,42,87,88,42,33,87,38,37,39,32
46,40,42,United Arab Emirates,49,146,41,32,29,20,21,37,44,42,49,106
