Country,Rank,Average Score,Safety & Security,Personal Freedom,Governance,Social Capital,Investment Environment,Enterprise Conditions,Market Access & Infrastructure,Economic Quality,Living Conditions,Health,Education,Natural Environment
Denmark,1,84.37,91.88,93.38,89.78,79.08,80.33,82.08,80.95,75.73,97.07,83.53,88.09,70.51
Norway,2,83.81,95.68,93.86,90.53,77.59,81.24,80.43,75.64,75.37,95.35,83.52,86.33,70.23
Switzerland,3,83.35,95.83,85.41,88.07,71.09,77.31,84.65,80.07,80.67,96.12,83.86,85.21,71.91
Sweden,4,83.15,90.23,90.02,88.21,72.51,79.05,78.68,81.6,75.8,96.55,83.02,84.49,77.61
Finland,5,83.05,90,89.09,90.65,75.61,80.37,79.54,80.78,69.86,95.3,81.71,86.99,76.75
Netherlands,6,82.04,90.52,88.99,88.86,71.65,78.56,80.94,84.06,75.93,96.59,82.45,86.33,59.58
New Zealand,7,81.08,87.41,86.56,88.28,74.74,80.6,78.69,76.32,68.65,91.21,81.62,84.62,74.26
Germany,8,81.07,87.83,86.42,85.66,67.24,77.06,82.26,81.83,77.09,96.18,82.05,81.85,67.38
Luxembourg,9,81.02,94.29,88.26,86.8,60.89,74.9,81.59,80.45,77.88,95.87,83.04,79.21,69.03
Austria,10,80.43,93.14,84.2,82.56,69.66,78.47,77.2,78.21,71.33,94.56,81.21,82.33,72.29
Iceland,11,80.21,93.03,86.58,83.56,75.22,75.25,73.1,76.59,70.77,92.71,83.72,84.68,67.28
Ireland,12,80.18,90.71,87.83,83,67.24,73.84,79.66,75.02,75.83,94.31,81.63,84.8,68.24
United Kingdom,13,80.07,88.37,82.97,83.16,67.55,79.6,79.76,81.1,72.64,95.04,81.33,84.05,65.21
Canada,14,79.82,88.49,88.22,84.07,69.37,75.86,78.51,76.89,68.04,93.62,79.61,86.78,68.38
Singapore,15,79.51,92.52,51.84,75.21,65.99,87,85.14,88.17,80,96,86.39,91.42,54.47
Australia,16,78.6,88.8,83.92,84.21,65.36,78.08,74.99,73.89,66.46,93.36,81.9,85.24,66.97
Hong Kong,17,78.36,93,63.28,79.06,52.68,81.23,86.86,83.62,73.69,93.48,82.8,87.21,63.44
United States,18,77.46,73.09,79.6,77.76,67.01,78.5,82.37,82.76,72.59,91.07,75.28,82.73,66.77
Japan,19,77.27,92.77,71.27,80.09,44.86,77.94,80.45,79.53,67.73,93.35,86.29,85.59,67.4
Taiwan,20,77.15,92.75,74.65,78.87,57.23,77.71,80.48,77.22,73.56,91.27,81.94,85.4,54.73
