2011,2020,2021,Country,Safety and Security,Personal Freedom,Governance,Social Capital,Investment Environment ,Enterprise Conditions ,Market Access and Infrastructure,Economic Quality,Living Conditions,Health,Education,Natural Environment
3,1,1,Denmark,7,2,2,1,4,5,9,8,3,18,3,8
2,2,2,Norway,1,1,3,2,5,9,19,11,7,4,10,10
1,5,3,Sweden,10,3,6,5,8,16,6,7,5,10,14,1
4,4,4,Finland,18,4,1,3,3,11,10,19,9,14,4,2
5,3,5,Switzerland,2,10,7,9,13,2,13,1,6,13,8,7
7,6,6,Netherlands,9,5,4,7,10,7,2,6,1,9,7,35
8,7,7,Luxembourg,3,7,8,19,22,6,11,2,8,12,34,11
6,8,8,New Zealand,26,11,5,4,6,14,23,17,30,24,12,4
9,9,9,Germany,21,12,9,16,16,13,5,10,2,16,23,14
14,10,10,Iceland,6,9,11,6,23,26,18,20,12,8,15,17
12,11,11,Austria,11,14,13,12,11,18,16,22,17,25,25,6
17,12,12,Ireland,13,6,15,18,25,19,24,4,19,26,13,13
13,13,13,United Kingdom,17,17,14,20,7,12,8,18,10,31,16,22
16,15,14,Singapore,8,101,27,10,1,3,1,5,4,2,1,86
11,14,15,Canada,19,8,12,11,21,17,21,40,16,34,5,19
10,16,16,Australia,27,15,10,8,12,24,33,23,13,22,9,24
23,19,17,Estonia,24,23,17,25,18,15,26,15,21,41,19,5
15,17,18,Hong Kong,16,62,22,87,2,1,3,3,26,15,6,34
19,18,19,Japan,5,34,18,143,9,8,7,25,11,1,11,16
18,20,20,United States,69,22,23,13,15,4,4,16,27,68,20,23
22,22,21,"Taiwan, China",4,27,21,38,14,10,29,13,32,5,17,81
20,21,22,France,38,25,19,55,20,22,14,29,23,20,27,12
21,23,23,Belgium,30,19,16,60,24,25,15,34,15,19,18,39
26,24,24,Spain,28,18,25,31,26,31,12,54,20,21,24,37
25,25,25,Malta,22,20,26,22,38,27,36,14,14,11,37,102
24,26,26,Slovenia,14,32,36,35,35,33,27,36,25,23,21,3
29,29,27,Czechia,12,24,31,57,28,44,28,12,28,30,31,26
28,27,28,Portugal,29,13,24,63,31,28,20,46,18,38,39,36
27,28,29,South Korea,37,43,30,147,19,46,17,9,24,3,2,56
36,32,30,Latvia,35,31,35,84,34,34,42,26,42,72,26,9
31,31,31,Italy,23,26,39,74,39,30,25,55,29,17,33,40
35,30,32,Israel,111,56,20,49,17,23,37,21,22,6,29,104
40,33,33,Lithuania,36,37,32,112,32,32,38,35,39,67,28,15
30,34,34,Cyprus,44,29,33,110,47,35,30,42,33,28,36,38
33,35,35,Slovakia,32,30,41,53,30,53,44,38,35,43,49,20
32,36,36,Poland,20,47,40,56,46,40,40,39,31,56,32,44
